capacity_id,slot_id,role_name,required_count,hours_per_person,man_month_factor,created_at,updated_at,note
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:42:16.028Z","2026-06-09T08:42:16.049Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:42:15.240Z","2026-06-09T08:42:15.247Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:42:14.450Z","2026-06-09T08:42:14.458Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:42:13.674Z","2026-06-09T08:42:13.682Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:42:12.802Z","2026-06-09T08:42:12.809Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:42:12.033Z","2026-06-09T08:42:12.044Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:42:01.538Z","2026-06-09T08:42:01.546Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:42:00.775Z","2026-06-09T08:42:00.783Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:41:59.899Z","2026-06-09T08:41:59.906Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:41:59.140Z","2026-06-09T08:41:59.148Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:41:58.381Z","2026-06-09T08:41:58.388Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:41:57.573Z","2026-06-09T08:41:57.580Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:41:56.739Z","2026-06-09T08:41:56.748Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:41:55.950Z","2026-06-09T08:41:55.958Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:41:55.189Z","2026-06-09T08:41:55.196Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:41:54.440Z","2026-06-09T08:41:54.447Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:41:53.677Z","2026-06-09T08:41:53.685Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:41:52.800Z","2026-06-09T08:41:52.810Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:41:51.992Z","2026-06-09T08:41:52.003Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:41:51.230Z","2026-06-09T08:41:51.238Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:41:50.463Z","2026-06-09T08:41:50.471Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:41:49.710Z","2026-06-09T08:41:49.718Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:41:48.923Z","2026-06-09T08:41:48.930Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:41:48.167Z","2026-06-09T08:41:48.175Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:41:47.230Z","2026-06-09T08:41:47.237Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:41:46.474Z","2026-06-09T08:41:46.482Z",""
